Name,Link,ClassName
Workday,https://workday.wd5.myworkdayjobs.com/Workday_Early_Career/?source=Careers_Website_ec,.css-19uc56f
Atlassian,https://www.atlassian.com/company/careers/all-jobs?team=Interns&location=&search=,div table a
Cohere,https://jobs.ashbyhq.com/cohere?employmentType=Intern,._title_12ylk_383.ashby-job-posting-brief-title
Riot Games,https://www.riotgames.com/en/university-programs,.job-row.job-row--body
Datadog,https://careers.datadoghq.com/early-careers/,.job-card-title h3
Doordash,https://careersatdoordash.com/university-careers/,div.value
MongoDB,https://www.mongodb.com/company/careers/students-and-graduates,.css-qq83g2
Slack,https://slack.com/careers/type/intern,.job-listing__table-title
Splunk,https://www.splunk.com/en_us/careers/search-jobs.html?page=1&type=Intern,.job-title.splunk2-h5
Amazon Robotics,https://www.amazon.jobs/content/en/teams/ftr/amazon-robotics?country%5B%5D=US&employment-type%5B%5D=Intern,div h3 a
AMD,https://careers.amd.com/careers-home/jobs?page=1&categories=Student%20%2F%20Intern%20%2F%20Temp&limit=100&tags1=No&country=United%20States,.job-title
TikTok,https://lifeattiktok.com/search?keyword=&recruitment_id_list=202%2C301&job_category_id_list=&subject_id_list=7322364514224687370%2C7322364513776093449%2C7459987887569733896%2C7459986622530078983&location_code_list=CT_247%2CCT_94%2CCT_243%2CCT_104%2CCT_114%2CCT_75%2CCT_1103355%2CCT_157%2CCT_233&limit=12&offset=0,div a div div span.jsx-6e121975f51c1bf6
Robinhood,https://careers.robinhood.com/,section.section.section-relative div.section-block div div div div.major-container div div.panel.EARLYTALENT p.job a
SpaceX,https://www.spacex.com/careers/jobs/?type=intern,table tbody tr td a
Intuit,https://jobs.intuit.com/search-jobs/interns/,section section ul li a h2
Nokia,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?lastSelectedFacet=TITLES&location=United+States&locationId=300000000480126&locationLevel=country&mode=location&selectedTitlesFacet=TRA,.job-tile__title
EA,https://jobs.ea.com/en_US/careers/Home/?8171=%5B10618%5D&8171_format=5683&4537=%5B8693%5D&4537_format=3020&listFilterMode=1&jobRecordsPerPage=20&,.link_result
Dassault Systems,https://www.3ds.com/careers/jobs?woc=%257B%2522type%2522%253A%255B%2522type%252FInternship%2522%255D%252C%2522country%2522%253A%255B%2522country%252FUnited%2520States%2522%255D%257D,.job-card-title
Rivian,https://careers.rivian.com/careers-home/jobs?sortBy=relevance&page=1&categories=Internships,.job-title-link
Palantir,https://jobs.lever.co/palantir?commitment=Internship,.posting-title > h5
Expedia,https://careers.expediagroup.com/jobs/?keyword=emerging+talent+and+careers&&filter[category]=Technology,.Results__list__title.h4.text-blue-2
Susquehanna,https://careers.sig.com/global-susquehanna-jobs,.job-title span
Roblox,https://careers.roblox.com/jobs?groups=early-career-talent&page=1&pageSize=9,main h4
ByteDance,https://jobs.bytedance.com/en/position?keywords=&category=&location=CT_1103355%2CCT_157%2CCT_94%2CCT_114%2CCT_100764%2CCT_75%2CCT_233%2CCT_203&project=7322364514224687370%2C7503447747358361864&type=3&job_hot_flag=&current=1&limit=10&functionCategory=&tag=,.positionItem-title-text
Jane Street,https://www.janestreet.com/join-jane-street/open-roles/?type=internship&location=new-york,.item.students-and-new-grads.position
Oracle,https://careers.oracle.com/en/sites/jobsearch/jobs?lastSelectedFacet=locations&selectedLocationsFacet=300000000106749%3B300000000149325&selectedFlexFieldsFacets=%22AttributeChar14%7CSDR%22,span.job-tile__title
Asana,https://asana.com/jobs/university-recruiting#jobs,.jobs-listing-title
Grammarly,https://www.grammarly.com/careers/jobs#all:all:intern,._15fPM-title
Adobe,https://careers.adobe.com/us/en/search-results?qkexperienceLevel=University%20Intern,.job-title
Databricks,https://www.databricks.com/company/careers/open-positions?department=University%20Recruiting&location=all,a.text-navy-06.flex.cursor-pointer
SpaceX,https://www.spacex.com/careers/jobs/?type=intern,table.jobs > tbody > tr > td > a
TSMC,https://careers.tsmc.com/en_US/careers/SearchJobs/?1277=13221&1277_format=1380&542=13100&542_format=486&listFilterMode=1&jobRecordsPerPage=10&,h3 a.link
Boston Scientific,https://bostonscientific.eightfold.ai/careers?start=0&location=United+States&pid=563602797912246&sort_by=distance&filter_include_remote=1&filter_seniority=Intern,div.title-1aNJK
Siemens,https://jobs.sw.siemens.com/locations/usa/jobs/?q=intern,a.space-between.align-center.relative.flex-row
Rockwell Automation,https://rockwellautomation.wd1.myworkdayjobs.com/External-Rockwell-Automation-Early-Careers,.css-19uc56f
Scheider Electric,https://careers.se.com/global/jobs?keywords=internship&sortBy=relevance&page=1&country=United%20States&tags1=Intern,a.job-title-link span
X,https://careers.x.com/en#positions,div.src__StackItemElem-iqmOUd.bxzgSn
Verkada,https://www.verkada.com/careers/,a.flex.flex-row.items-center.justify-between.py-5
Neuralink,https://neuralink.com/careers/,div._jobInfo_15nf4_45
Zipline,https://www.zipline.com/careers/open-roles?search=intern#,div.flex-auto.mr-6
Cloudflare,https://www.cloudflare.com/careers/jobs/?department=University&location=US,div.w-100.w-50-m.w-50-l.flex.items-center.pr-4
Capital One,"https://www.capitalonecareers.com/search-jobs?acm=ALL&alrpm=ALL&ascf=[%7B%22key%22:%22custom_fields.Campus%22,%22value%22:%22Internships%22%7D]",div.search-wrap__right > div > section > section > ul > li > a > h2
Deloitte,https://apply.deloitte.com/en_US/careers/SearchJobs/?9339=%5B480%2C477%2C478%5D&9339_format=5915&26444=%5B113185584%2C113185586%2C113185566%2C113185568%2C113185564%5D&26444_format=44221&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,h3.article__header__text__title.article__header__text__title--2
